SITE_ID,LATDD,LONDD,SITE_ELEV,DATE_SMP,year,month,day,PROGRAM_ID,PARAMETER,VALUE,METHOD,METHOD_DESCRIPTION,SAMPLE_TYPE,SAMPLE_LOCATION,WATERBODY_TYPE
VT07,37.0531,-81.4348,928.05,2020-11-04 00:00:00,2020,11,4,VTSSS,COND,13.0,EPA 120.6,"Eletrolytic, YSI. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ",Regular,Stream,Stream
PAIN,38.1986,-78.7934,427.42,2020-10-27 00:00:00,2020,10,27,VTSSS,CL,22.0,EPA 300.6,Dionex Ion Chromotography. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT42,37.5329,-79.4649,574.57,2020-10-26 00:00:00,2020,10,26,VTSSS,WTEMP,12.0,Unknown,Unknown,Regular,Stream,Stream
VT24,37.6153,-80.1776,560.86,2020-10-26 00:00:00,2020,10,26,VTSSS,CA,52.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT67,36.5705,-80.8553,787.02,2011-10-25 00:00:00,2011,10,25,VTSSS,CA,19.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
ME-9998,44.3364,-69.2711,89.17,2020-10-21 00:00:00,2020,10,21,LTM_ME,P_TL,8.0,EPA 365.4,"Acid persulfate digestion; Molybdate colorimetric. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.",Regular,EPI,Lake
VT48,36.9583,-80.6597,659.65,2020-10-28 00:00:00,2020,10,28,VTSSS,WTEMP,14.0,Unknown,Unknown,Regular,Stream,Stream
VT31,37.2396,-80.9189,768.75,2020-10-28 00:00:00,2020,10,28,VTSSS,SO4,37.0,EPA 300.6,Dionex Ion Chromotography. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT02,36.6893,-81.519,1110.09,2020-10-26 00:00:00,2020,10,26,VTSSS,MG,21.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT02,36.6893,-81.519,1110.09,2020-10-26 00:00:00,2020,10,26,VTSSS,PH_LAB,7.0,EPA 150.6,USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
1E1-131,44.6475,-68.0592,69.91,2020-10-22 00:00:00,2020,10,22,LTM_ME,P_TL,4.0,EPA 365.4,"Acid persulfate digestion; Molybdate colorimetric. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.",Annual,EPI,Lake
1E1-134,44.633,-68.0908,128.82,2020-10-22 00:00:00,2020,10,22,LTM_ME,DOC,5.0,EPA 415.1,"High temperature combustion; IR Spectrophotometry. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.",Regular,EPI,Lake
1C1-100,43.3139,-72.9305,789.01,2020-10-20 00:00:00,2020,10,20,LTM_VT,SO4,26.0,"USEPA, 1993 Method 300.0",USEPA. 1993. Methods for the determination of inorganic substances in envrionmental samples. A/600/R-93/100,Regular,EPI,Lake
020058,44.51709,-74.12604,516.97,2020-07-23 00:00:00,2020,7,23,LTM_ALTM,SO4,21.0,"EPA 300.0, 4110 B","Ion Chromatography. Methods for the Determination of Inorganic Substances in Environmental Samples, EPA 600/R-93-100, 1993. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005.",Annual,EPI,Lake
VT34,37.9289,-79.4552,388.23,2020-11-06 00:00:00,2020,11,6,VTSSS,COND,15.0,EPA 120.6,"Eletrolytic, YSI. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ",Regular,Stream,Stream
030171,44.65698,-74.49562,381.21,2020-07-23 00:00:00,2020,7,23,LTM_ALTM,COND,10.0,"EPA 120.1, 2510 B","YSI @ 25C. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. ",Annual,EPI,Lake
VT39,37.9631,-79.0141,565.66,2020-10-28 00:00:00,2020,10,28,VTSSS,COND,11.0,EPA 120.6,"Eletrolytic, YSI. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ",Regular,Stream,Stream
020138,44.31384,-74.37335,480.08,2020-09-21 00:00:00,2020,9,21,LTM_ALTM,P_TL,11.0,"EPA 365.3, 4500-P I","Block Digest Flow Inject. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. ",Regular,EPI,Lake
